symbol	file	date	status
GLD	GLD.2023-06-05.sqlite	2076-11-06	MISSING_OPTIONS
GLD	GLD.2023-06-05.sqlite	2076-11-07	MISSING_OPTIONS
GLD	GLD.2023-06-06.sqlite	2076-11-08	MISSING_OPTIONS
GLD	GLD.2023-06-06.sqlite	2076-11-09	MISSING_OPTIONS
GLD	GLD.2023-06-07.sqlite	2076-11-10	MISSING_OPTIONS
GLD	GLD.2023-06-07.sqlite	2076-11-11	MISSING_OPTIONS
GLD	GLD.2023-06-08.sqlite	2076-11-12	MISSING_OPTIONS
GLD	GLD.2023-06-08.sqlite	2076-11-13	MISSING_OPTIONS
GLD	GLD.2023-06-09.sqlite	2076-11-14	MISSING_OPTIONS
GLD	GLD.2023-06-09.sqlite	2076-11-15	MISSING_OPTIONS
SPX	SPX.2023-06-05.sqlite	2076-11-06	MISSING_OPTIONS
SPX	SPX.2023-06-05.sqlite	2076-11-07	MISSING_OPTIONS
SPX	SPX.2023-06-06.sqlite	2076-11-08	MISSING_OPTIONS
SPX	SPX.2023-06-06.sqlite	2076-11-09	MISSING_OPTIONS
SPX	SPX.2023-06-07.sqlite	2076-11-10	MISSING_OPTIONS
SPX	SPX.2023-06-07.sqlite	2076-11-11	MISSING_OPTIONS
SPX	SPX.2023-06-08.sqlite	2076-11-12	MISSING_OPTIONS
SPX	SPX.2023-06-08.sqlite	2076-11-13	MISSING_OPTIONS
SPX	SPX.2023-06-09.sqlite	2076-11-14	MISSING_OPTIONS
SPX	SPX.2023-06-09.sqlite	2076-11-15	MISSING_OPTIONS
SPY	SPY.2023-06-05.sqlite	2023-06-05	MISSING_OPTIONS
SPY	SPY.2023-06-06.sqlite	2023-06-06	MISSING_OPTIONS
SPY	SPY.2023-06-07.sqlite	2023-06-07	MISSING_OPTIONS
SPY	SPY.2023-06-08.sqlite	2023-06-08	MISSING_OPTIONS
SPY	SPY.2023-06-09.sqlite	2023-06-09	MISSING_OPTIONS
USO	USO.2023-06-05.sqlite	2076-11-06	MISSING_OPTIONS
USO	USO.2023-06-05.sqlite	2076-11-07	MISSING_OPTIONS
USO	USO.2023-06-06.sqlite	2076-11-08	MISSING_OPTIONS
USO	USO.2023-06-06.sqlite	2076-11-09	MISSING_OPTIONS
USO	USO.2023-06-07.sqlite	2076-11-10	MISSING_OPTIONS
USO	USO.2023-06-07.sqlite	2076-11-11	MISSING_OPTIONS
USO	USO.2023-06-08.sqlite	2076-11-12	MISSING_OPTIONS
USO	USO.2023-06-08.sqlite	2076-11-13	MISSING_OPTIONS
USO	USO.2023-06-09.sqlite	2076-11-14	MISSING_OPTIONS
USO	USO.2023-06-09.sqlite	2076-11-15	MISSING_OPTIONS
