symbol	min_ts	max_ts	rows_u	rows_o
GLD	1685611800000	3512736000000	162243	461380
SPX	1514885400000	3512736000000	824460	16401840
SPY	1685611800000	3512736000000	215702	3629262
USO	1756200600000	3512736000000	2343	399602
VIX	1718962200000	3512390400000	224389	36939688
XSP	3490767060000	3512736000000	10140	3153540
