symbol,year,files
GLD,2023,147
GLD,2024,252
GLD,2025,20
SPX,2018,251
SPX,2019,252
SPX,2020,253
SPX,2021,252
SPX,2022,251
SPX,2023,358
SPX,2024,166
SPX,2025,164
SPY,2023,193
SPY,2024,299
SPY,2025,178
USO,2024,1
USO,2025,3
VIX,2018,239
VIX,2019,145
VIX,2020,126
VIX,2021,126
VIX,2022,124
VIX,2023,129
VIX,2024,23
VIX,2025,26
XSP,2024,2
XSP,2025,47
