symbol	min_ts	max_ts	rows_u	rows_o
GLD	1685611800000	3512736000000	136503	461380
SPX	1514885400000	3512736000000	741390	2971020
SPY	1685611800000	3512736000000	196192	3105713
USO	1756200600000	3512736000000	2343	399602
VIX	1718962200000	3512390400000	203666	30610571
XSP	3508047060000	3512736000000	7800	3120000
